,float0,float1,int0,int1,string0,string1,string2
0,-49.97470365969689,-102.60590828383042,-9976,0,sidewheel resecretion reconcession dacryocystosyringotomy odontohyperesthesia,gemmed,overclaim nonsinkable squirted irrhation
1,54.57585082249943,-668.1311725923038,0,0,becowards throated clausthalite avens,jarovizes anucleated antigyrous,curateship
2,-265.7596241903165,0.28606393628163895,-1778,-17,proselyte molossian pagurian moquette,foreruns phenanthrenequinone peristaltically pinhole,brushing
3,9547.58225067813,-0.18894160547898414,2172,-70761,builder,alkoranic,jonnick buzzgloak
4,16177.426506194306,-6.261358902187962,37,66,intercede anematizing,overfavorably,panhyperemia
5,0.017134574689346323,12.713005049864902,0,0,skateable miskeeping ahistorical intermedial homos,purses,theyve nonprohibitory
6,0.18386925814359592,-0.2768756556830966,675,2963,ganocephala anormal miscasted,execrations mononitrobenzene woeness guideress renk,biotaxy deveins zonuridae undeliberated
7,180.002468122393,-10371.319252517678,0,-2098,foveole dicoelious trussers rejuvenescent leaner,pentagynia perjinkly equilibrant,extrapolation areach
8,-9.912378006883628,1.475749493283486,1,0,thesocyte guanay polysyllabically novelwright,bewrayment hotheaded,platypus
9,-364.57806789048277,9052.757312861846,-11615,9,organotropism rumrunner printably mellower,anergies epifaunal remuda nondrinkable,relearns inhomogeneous glutaminase crustade
10,-0.20092055279050008,-0.07194749645379402,-433,0,datiscaceous,cannulae interment lase coninidia dryads,prolapses
11,-35387.374603158445,53261.64699533655,-4,0,frontspieces,torulaform wearers,vanward oct wildgrave vicomtesse
12,-20607.690153763764,-0.016914709225106028,0,0,enerve nisqualli initialling monochronic,emblematising muscularly thunderclouds ethoxy diallagite,crystallic overglaze superstrenuousness overimmunized
13,-3610.919658534792,-0.26368244564804416,8,0,alcoholize disconcord,sacculation essonites mor transconductance shyam,retraxit lyopomatous
14,-93204.74494279503,6493.96886913135,0,1731,unsalesmanlike bicolourous amyelonic,semihexagon redifferentiate bubblelike cancer eruditeness,aphodius
15,124291.38158630897,4.987442418450892,-85406,2,vakil calando naringin,millimetmhos hypopotassemia ammoniureted,nonoccult
16,65202.97739108671,-0.019420015714127856,3699,17,stiff adversus serrai,antisocialist sarcitis vivamente,implausibilities gratifier preprocessing
17,0.010650058535208375,-0.05078978602690245,0,9,decultivate,moyite offline,hydrocarbonate
18,1622.2947456908894,923.5517459383425,618,68,cautions stigma unnabbed awonder ureterostegnosis,physcia oronasally quadrienniumutile,florisugent innisfail dyslysin pastime
19,0.033972984591974724,-7.8674002015264906,-2,48,senecionine precombustion chloric externalization,isoasparagine,deodorize carnivallike stellenbosch polystylous fibrocement
